accession_record_id	experiment_id	sample_timepoint_id	namespace	entity_type	accession	project_accession	study_accession	sample_accession	experiment_accession	run_accession	official_page_url	download_url	file_format	file_size_bytes	md5	format_validation_status	online_verification_status	verification_date	evidence_ids	notes	condition_id	replicate_id	batch_id	library_strategy	library_source	library_selection	library_layout	instrument_platform	instrument_model	public_status	query_id	biological_sample_origin_status	library_origin_status	sequencing_generation_status	analysis_usage_status	origin_evidence_ids
AC-P0008-0645	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938931	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938931	https://www.ebi.ac.uk/ena/browser/view/SRR5938931	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5938931/SRR5938931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5938931/SRR5938931_2.fastq.gz	FASTQ	189309500;192077395	14e031cbd81aeb3ea57b9e5fd0420ca2;a580be947550f7c7102a7a87e89dcbb9	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0646	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938932	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938932	https://www.ebi.ac.uk/ena/browser/view/SRR5938932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5938932/SRR5938932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5938932/SRR5938932_2.fastq.gz	FASTQ	192588467;195362515	acfb5f5938a5a0743e1a184f8b40e8a8;a680b72654a3ab07a1f4233eacd08b8f	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0647	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938933	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938933	https://www.ebi.ac.uk/ena/browser/view/SRR5938933	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5938933/SRR5938933_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5938933/SRR5938933_2.fastq.gz	FASTQ	187585260;190513830	4b88a0bdc9cbb8425d0151fb51419a4a;4af6a9ddecc20a4efbd06c99d6e69e01	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0648	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938934	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938934	https://www.ebi.ac.uk/ena/browser/view/SRR5938934	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5938934/SRR5938934_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5938934/SRR5938934_2.fastq.gz	FASTQ	179911319;183125309	4826c5c0b0b88b6399642e8c8fe557a6;18b02a07cbf2acc0f031ce6261e3f302	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0649	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938935	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938935	https://www.ebi.ac.uk/ena/browser/view/SRR5938935	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5938935/SRR5938935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5938935/SRR5938935_2.fastq.gz	FASTQ	181658989;185281508	a9d68d5ad584e67402505935f3b36fa8;06ea925e7304039e3057232a930a850e	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0650	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938936	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938936	https://www.ebi.ac.uk/ena/browser/view/SRR5938936	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5938936/SRR5938936_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5938936/SRR5938936_2.fastq.gz	FASTQ	182572853;185721759	d31363909d68099e160dc6106427ca68;ed5c857d583756675e7f38b7c06b97da	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0651	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938937	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938937	https://www.ebi.ac.uk/ena/browser/view/SRR5938937	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5938937/SRR5938937_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5938937/SRR5938937_2.fastq.gz	FASTQ	180165727;182968589	8c510adb539b06ea1fa6895949decfff;e30cc9b0e5d2f2486cbbba929e762dde	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0652	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938938	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938938	https://www.ebi.ac.uk/ena/browser/view/SRR5938938	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5938938/SRR5938938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5938938/SRR5938938_2.fastq.gz	FASTQ	184452827;187260708	ca0821dd04247835a0488a00b920d49c;d25706459588c3db92034d2ce2bd5322	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0653	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938939	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938939	https://www.ebi.ac.uk/ena/browser/view/SRR5938939	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5938939/SRR5938939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5938939/SRR5938939_2.fastq.gz	FASTQ	186714312;189335891	42440223cd60b30ad17af13656caa690;d18fa3ef5af76eef26507f96dfb4f39f	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0654	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938940	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938940	https://www.ebi.ac.uk/ena/browser/view/SRR5938940	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5938940/SRR5938940_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5938940/SRR5938940_2.fastq.gz	FASTQ	189104062;191557396	74a6d9671a192a10a99ab320e2a67c5b;9b7efd22982ad123ecc52306b175beee	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0655	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938941	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938941	https://www.ebi.ac.uk/ena/browser/view/SRR5938941	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5938941/SRR5938941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5938941/SRR5938941_2.fastq.gz	FASTQ	191412795;194302365	210c6b264fadb2ab9d0a79dfecbf0d70;4c65076b5b8e3f9f8d88bf88622d6d9c	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0656	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938942	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938942	https://www.ebi.ac.uk/ena/browser/view/SRR5938942	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5938942/SRR5938942_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5938942/SRR5938942_2.fastq.gz	FASTQ	178499718;181330566	291299400055fba6fe8e352481fd2e88;dc76ab564ea9ece1488e6c9023fd1a4d	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0657	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938943	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938943	https://www.ebi.ac.uk/ena/browser/view/SRR5938943	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5938943/SRR5938943_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5938943/SRR5938943_2.fastq.gz	FASTQ	176583940;179361399	6d7779195ae73f56e7a890599908b6c7;cf5364922a28228d1576eafa1e7eac76	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0658	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938944	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938944	https://www.ebi.ac.uk/ena/browser/view/SRR5938944	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5938944/SRR5938944_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5938944/SRR5938944_2.fastq.gz	FASTQ	178290543;181340301	166180799d87f556a578df8d800da7c1;389b30fdf3bedb29f5e2bc17dcc3acb5	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0659	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938945	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938945	https://www.ebi.ac.uk/ena/browser/view/SRR5938945	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5938945/SRR5938945_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5938945/SRR5938945_2.fastq.gz	FASTQ	179801322;182789486	599a66bb532b50185b6cc3cdca205542;a1f026660027ce8aa8cda8424f11a3fe	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0660	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938946	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938946	https://www.ebi.ac.uk/ena/browser/view/SRR5938946	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5938946/SRR5938946_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5938946/SRR5938946_2.fastq.gz	FASTQ	181802753;184536845	37e7aaa41820752be858e32f0fe2bf02;64401511cad3ac38769a9a10878d6ddc	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0661	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938947	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938947	https://www.ebi.ac.uk/ena/browser/view/SRR5938947	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5938947/SRR5938947_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5938947/SRR5938947_2.fastq.gz	FASTQ	184592103;187259761	927c453442a247699339042a3dd81c65;e7b4ca9a18d88539718ba1e2209e5f14	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0662	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938948	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938948	https://www.ebi.ac.uk/ena/browser/view/SRR5938948	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5938948/SRR5938948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5938948/SRR5938948_2.fastq.gz	FASTQ	182094701;185080893	b2a9ebc5b3bdf9222c816b40255a0c8c;4bfab8abd82662309766538396b19a24	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0663	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938949	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938949	https://www.ebi.ac.uk/ena/browser/view/SRR5938949	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5938949/SRR5938949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5938949/SRR5938949_2.fastq.gz	FASTQ	187430719;190493608	29a73702869fbe6304cd8874ccd38d4e;d1886a59e2e0307dcca892c05202a83a	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0664	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938950	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938950	https://www.ebi.ac.uk/ena/browser/view/SRR5938950	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5938950/SRR5938950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5938950/SRR5938950_2.fastq.gz	FASTQ	191314331;194298558	d714c246445269cde2efc026b733a425;cf61344f93048b84eef2ef1bf80d815a	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0665	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938951	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938951	https://www.ebi.ac.uk/ena/browser/view/SRR5938951	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5938951/SRR5938951_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5938951/SRR5938951_2.fastq.gz	FASTQ	174062581;177495724	b20080dc640fabdb57b0c7ffa23bc504;6cac031373105e8e22b70c51aad4780a	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0666	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938952	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938952	https://www.ebi.ac.uk/ena/browser/view/SRR5938952	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5938952/SRR5938952_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5938952/SRR5938952_2.fastq.gz	FASTQ	175431847;178626258	4caac4b98ef4b8de72920dffd4260352;8e01334090a02f072c53a9828e2bd7c1	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0667	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938953	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938953	https://www.ebi.ac.uk/ena/browser/view/SRR5938953	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5938953/SRR5938953_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5938953/SRR5938953_2.fastq.gz	FASTQ	177203864;180414788	3b4058240016020c96b9991b4795e58f;a5b456288d9b47541c73c70cc2450eb5	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0668	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938954	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938954	https://www.ebi.ac.uk/ena/browser/view/SRR5938954	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5938954/SRR5938954_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5938954/SRR5938954_2.fastq.gz	FASTQ	178728942;182255356	e747f0f7d356d97968728a4d5492b3ad;cf05d10684119205fa74325fe2a015a3	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0669	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938955	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938955	https://www.ebi.ac.uk/ena/browser/view/SRR5938955	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5938955/SRR5938955_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5938955/SRR5938955_2.fastq.gz	FASTQ	181651009;184130015	007415f791e54cb81c47985bf9524d08;22ca528b6012c37360057d95eb7978fe	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0670	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938956	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938956	https://www.ebi.ac.uk/ena/browser/view/SRR5938956	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5938956/SRR5938956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5938956/SRR5938956_2.fastq.gz	FASTQ	183792936;186994879	8803de7c4b957892bf5a797f3bb990de;0afecbd8829297ebd552034a76a416b5	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0671	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938957	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938957	https://www.ebi.ac.uk/ena/browser/view/SRR5938957	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5938957/SRR5938957_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5938957/SRR5938957_2.fastq.gz	FASTQ	186849785;189417061	c84be26b2ac6224aae1946247708b874;4ad275f85f2814fcb5831338dced696e	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
AC-P0008-0672	EX-P0008-001	ST-P0008-GEO-014	INSDC SRA/ENA	sra_run	SRR5938958	PRJNA398543	SRP115572	SRS2434609	SRX3098305	SRR5938958	https://www.ebi.ac.uk/ena/browser/view/SRR5938958	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5938958/SRR5938958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5938958/SRR5938958_2.fastq.gz	FASTQ	190486267;194032714	402a8339f2dc3aa94b07e23df678db60;e305b5027c07d7106d1f5f2765ab49d1	verified	verified	2026-07-13	E-P0008-009|E-P0008-010	NCBI/ENA Run集合与关系一致；URL字段为ENA API原值	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	Hi-C	GENOMIC	other	PAIRED	ILLUMINA	Illumina HiSeq 2000	public	Q0003|Q0004	study_generated	study_generated	UNRESOLVED	primary_analysis	E-P0008-008|E-P0008-013
