replicate_id	condition_id	author_replicate_label	replicate_type	replicate_number	evidence_ids	notes
R-P0012-037	C-P0012-037	rep3	UNRESOLVED	3	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-038	C-P0012-038	rep1	UNRESOLVED	1	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-039	C-P0012-039	rep2	UNRESOLVED	2	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-040	C-P0012-040	rep3	UNRESOLVED	3	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-041	C-P0012-041	rep1	UNRESOLVED	1	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-042	C-P0012-042	rep2	UNRESOLVED	2	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-043	C-P0012-043	rep1	UNRESOLVED	1	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0012-044	C-P0012-044	rep2	UNRESOLVED	2	E-P0012-003	rep label parsed from GEO title; biological/technical type not explicit in saved metadata.
R-P0001-001	C-P0001-001	R1	UNRESOLVED	1	E-P0001-003	R label retained from archive alias; type unresolved.
R-P0001-002	C-P0001-002	R1	UNRESOLVED	1	E-P0001-003	R label retained from archive alias; type unresolved.
R-P0001-003	C-P0001-003	R2	UNRESOLVED	2	E-P0001-003	R label retained from archive alias; type unresolved.
R-P0001-004	C-P0001-004	R1	UNRESOLVED	1	E-P0001-003	R label retained from archive alias; type unresolved.
R-P0001-005	C-P0001-005	NR	NR	NR	E-P0001-003	R label retained from archive alias; type unresolved.
R-P0001-006	C-P0001-006	NR	NR	NR	E-P0001-003	R label retained from archive alias; type unresolved.
R-P0001-007	C-P0001-007	R2	UNRESOLVED	2	E-P0001-003	R label retained from archive alias; type unresolved.
R-P0001-008	C-P0001-008	R1	UNRESOLVED	1	E-P0001-003	R label retained from archive alias; type unresolved.
R-P0001-009	C-P0001-009	NR	NR	NR	E-P0001-003	R label retained from archive alias; type unresolved.
R-P0001-010	C-P0001-010	NR	NR	NR	E-P0001-003	R label retained from archive alias; type unresolved.
R-P0001-011	C-P0001-011	R2	UNRESOLVED	2	E-P0001-003	R label retained from archive alias; type unresolved.
R-P0001-012	C-P0001-012	R1	UNRESOLVED	1	E-P0001-003	R label retained from archive alias; type unresolved.
R-P0001-013	C-P0001-013	NR	NR	NR	E-P0001-003	R label retained from archive alias; type unresolved.
